ASPDH	NM_001024656
ASPG	NM_001080464
ASPH	NM_004318
ASPHD1	NM_181718
ASPHD2	NM_020437
ASPM	NM_018136
ASPN	NM_017680
ASPRV1	NM_152792
ASPSCR1	NM_024083
ASRGL1	NM_001083926
ASS1	NM_000050
ASTE1	NM_014065
ASTN1	NM_004319
ASTN2	NM_014010
ASUN	NM_018164
ASXL1	NM_015338
ASXL2	NM_018263
ASZ1	NM_130768
ATAD1	NM_032810
ATAD2	NM_014109
ATAD2B	NM_017552
ATAD3A	NM_018188
ATAD3B	NM_031921
ATAD3C	NM_001039211
ATAD5	NM_024857
ATAT1	NM_024909
ATE1	NM_001001976
ATF1	NM_005171
ATF2	NM_001880
ATF3	NM_001674
ATF4	NM_001675
ATF6	NM_007348
ATF7IP	NM_018179
ATF7IP2	NM_024997
ATG10	NM_001131028
ATG12	NM_004707
ATG13	NM_014741
ATG14	NM_014924
ATG16L1	NM_017974
ATG16L2	NM_033388
ATG2A	NM_015104
ATG2B	NM_018036
ATG3	NM_022488
ATG4A	NM_052936
ATG4B	NM_013325
ATG4C	NM_032852
ATG4D	NM_032885
ATG5	NM_004849
ATG7	NM_006395
ATG9A	NM_024085
ATG9B	NM_173681
ATHL1	NM_025092
ATIC	NM_004044
ATL2	NM_022374
ATL3	NM_015459
ATM	NM_000051
ATMIN	NM_015251
ATN1	NM_001940
ATOH1	NM_005172
ATOH8	NM_032827
ATOX1	NM_004045
ATP10A	NM_024490
ATP10B	NM_025153
ATP10D	NM_020453
ATP11A	NM_015205
ATP11B	NM_014616
ATP11C	NM_173694
ATP12A	NM_001676
ATP13A1	NM_020410
ATP13A2	NM_022089
ATP13A3	NM_024524
ATP13A4	NM_032279
ATP13A5	NM_198505
ATP1A1	NM_001160233
ATP1A2	NM_000702
ATP1A3	NM_152296
ATP1A4	NM_144699
ATP1B2	NM_001678
ATP1B3	NM_001679
ATP1B4	NM_001142447
ATP2A1	NM_004320
ATP2A2	NM_001681
ATP2A3	NM_174953
ATP2B1	NM_001682
ATP2B2	NM_001683
ATP2B3	NM_021949
ATP2B4	NM_001001396
ATP2C1	NM_001001486
ATP2C2	NM_014861
ATP4A	NM_000704
ATP4B	NM_000705
ATP5A1	NM_004046
ATP5B	NM_001686
ATP5C1	NM_005174
ATP5D	NM_001687
ATP5F1	NM_001688
ATP5G1	NM_005175
ATP5G2	NM_005176
ATP5G3	NM_001689
ATP5H	NM_006356
ATP5J	NM_001685
ATP5J2	NM_004889
ATP5L	NM_006476
ATP5L2	NM_001165877
ATP5O	NM_001697
ATP5S	NM_015684
ATP5SL	NM_018035
ATP6AP1	NM_001183
ATP6AP1L	NM_001017971
ATP6AP2	NM_005765
ATP6V0A1	NM_001130020
ATP6V0A2	NM_012463
ATP6V0A4	NM_020632
ATP6V0B	NM_004047
ATP6V0C	NM_001694
ATP6V0D1	NM_004691
ATP6V0D2	NM_152565
ATP6V0E1	NM_003945
ATP6V0E2	NM_145230
ATP6V1A	NM_001690
ATP6V1B1	NM_001692
ATP6V1B2	NM_001693
ATP6V1C1	NM_001695
ATP6V1C2	NM_144583
ATP6V1D	NM_015994
ATP6V1E1	NM_001696
ATP6V1E2	NM_080653
ATP6V1F	NM_004231
ATP6V1G1	NM_004888
ATP6V1G2	NM_130463
ATP6V1G3	NM_133326
ATP6V1H	NM_015941
ATP7A	NM_000052
ATP7B	NM_000053
ATP8A1	NM_006095
ATP8A2	NM_016529
ATP8B1	NM_005603
ATP8B2	NM_020452
ATP8B3	NM_138813
ATP8B4	NM_024837
ATP9A	NM_006045
ATP9B	NM_198531
ATPAF1	NM_022745
ATPAF2	NM_145691
ATPIF1	NM_016311
ATR	NM_001184
ATRAID	NM_016085
ATRIP	NM_130384
ATRN	NM_139321
ATRX	NM_000489
ATXN1	NM_000332
ATXN10	NM_013236
ATXN2	NM_002973
ATXN2L	NM_007245
